nombre;apellido;id;email;password;direccion;telefono;tarjeta;pedidos
Sofia;Torres;kxfTdPg7dE;sofia.torres@example.com;a3jsC1cD;bbPgwlLImq6ZNDt;7532950424;4917171673573319;6
Ana;Martinez;ptXAMR1mzL;ana.martinez@example.com;x8wWetfM;wn2VYEa1FsP8pAq;3367354089;9134057895042938;8
Ana;Perez;6rhVH4Q0BA;ana.perez@example.com;AMof4oBq;hQupzC4O3P7a4QX;0526218935;7352937480871089;9
Maria;Gomez;5QFGeja1Om;maria.gomez@example.com;6HI08FVd;0d4FnZYPOuTYSkt;1563134861;8944656476288117;6
Marta;Martinez;szWn9Ghp6i;marta.martinez@example.com;jsT97q9T;uPknw7w2RUn7TWi;5575237786;4553618792269598;9
Juan;Torres;DAcWIlMBVO;juan.torres@example.com;HcEWM0CW;ijjdlaebqKFqSpT;4880197545;5083839640410525;6
Carlos;Diaz;TQbv2lmXSl;carlos.diaz@example.com;RQl4dAZD;C0ykJ1pv79a9z2p;2476532268;1112107962367740;8
Carlos;Torres;r7y1CAXoTv;carlos.torres@example.com;rPVVEX7L;V9TRWylgOEfobl4;2218405496;9570777354659972;4
Javier;Lopez;pPqKVxuqsz;javier.lopez@example.com;X18qGG6h;yoEPttm1cXh6cub;3249832130;3856073992062828;4
Pedro;Lopez;wU0do5j2r5;pedro.lopez@example.com;OkIE15pj;OWvYjTMG2ngwcER;7554799364;2335155136351665;6
Luis;Martinez;mDLWR4Ije2;luis.martinez@example.com;Lmk4HYDC;4DFcWUExY8vepGz;4749169069;2097315397187383;6
Carlos;Rodriguez;Xao5cEYrzZ;carlos.rodriguez@example.com;2vYRzM02;lsYTmFBqPI3H7KU;9274593051;0203864781464121;5
Carlos;Rodriguez;0DUC8rQvH2;carlos.rodriguez@example.com;xEjYFpfP;YROMawrUzWvmyGS;0186405837;5211245645107850;5
Laura;Lopez;3upnQECKAW;laura.lopez@example.com;Ckp2OG34;tZZHIcXOBfDrvyK;6000242863;8235118438694323;6
Carlos;Fernandez;AkFLw0Iz21;carlos.fernandez@example.com;gz3u8dP8;gHQW3kb1gJr942j;5438387782;2414949931400166;7
Juan;Diaz;bavwNvWjkV;juan.diaz@example.com;kUdc44AT;W82ycoJTuutSl87;8637572933;0906913001041590;8
Marta;Perez;WNxBDYFOHn;marta.perez@example.com;GaWr8LyJ;aFRbfr79jrV6T6n;2614390365;1754579504048553;6
Laura;Torres;kZrSqz6Aaw;laura.torres@example.com;glllHtTg;8dTZsFcQlrCq20v;8475893163;8364702049497478;2
Pedro;Rodriguez;VuHoCu6PeS;pedro.rodriguez@example.com;meveMx2L;LkcL42n8LPdivO6;8190014761;1735171089051188;9
Sofia;Rodriguez;8TRo5qUvTQ;sofia.rodriguez@example.com;fefg1xYl;9P2kUHT6tGx2diK;5966603742;7687340110801095;10
Javier;Martinez;t1Gl88Ayxv;javier.martinez@example.com;zCFRUj5r;9vMKHWlgzJyUnwm;4789468842;8189463707846558;8
Carlos;Lopez;jk679UQz54;carlos.lopez@example.com;MUfr02L8;8XnMsSSVXpaA91A;8424449591;8911385083583505;6
Maria;Rodriguez;E9wEOpbomQ;maria.rodriguez@example.com;E3RPxMVq;MUNkdQPzDkPQ3VF;8828101367;5908450567298832;3
Marta;Diaz;3YU1SjdaKg;marta.diaz@example.com;vJFxNcNd;x1y9osy9VjtutF7;2492977349;2979413828422950;7
Laura;Perez;l9HFXPVVua;laura.perez@example.com;3Ty7VHkz;fU5eV4vONQtcIIj;5953529576;5940577822052545;10
Sofia;Perez;BF8qFvXovX;sofia.perez@example.com;O4WubsEz;iYF6OV1hcDXSw3C;8455091667;1347218086831260;3
Pedro;Gonzalez;KJ1gMdyaLk;pedro.gonzalez@example.com;mOGHr79k;AKbG6vL1LkvEc90;8795841329;9557618777977648;5
Maria;Rodriguez;mTEwYuIPfC;maria.rodriguez@example.com;kcPIqfaH;sBpuFMoQtfaKTg0;7529280456;5245994390482862;8
Ana;Lopez;kIW7LvJhfl;ana.lopez@example.com;ejFP9fgV;ooGFsxrvG1cRqF7;3939248250;3944447718204509;1
Pedro;Torres;uDahARvy5S;pedro.torres@example.com;RGRNwBgv;i4UIqKuda4mr50J;6220076211;3233822829252979;9
Juan;Gonzalez;e89mEWlR0f;juan.gonzalez@example.com;8MtKqI1j;qqG1CYxfAYszS45;5218395240;7959889989263605;10
Juan;Rodriguez;oN87pE5bIY;juan.rodriguez@example.com;Hm5ZO0qB;WVUqYz7jnnb7NDb;4909558606;6406546669879164;6
Javier;Gomez;DNaNMORBl1;javier.gomez@example.com;qL8JNFUK;wulCKBbxLjmuONr;3665913654;2859548771340895;7
Pedro;Sanchez;g9Vde0q1qr;pedro.sanchez@example.com;MYtWX0LR;86nuse3ypZBnZgh;8391290684;4978704209997285;10
Luis;Gomez;qW8c0X3VsQ;luis.gomez@example.com;585PGSoF;9OPi9rSJEbCeNnA;9242120669;0092625877252126;4
Maria;Fernandez;uFXd5WpiRc;maria.fernandez@example.com;O0FW4VQZ;lZXS5OrUqA7gzvY;7246512896;5519286435860470;5
Luis;Gonzalez;pa5gzzSCmg;luis.gonzalez@example.com;yGQQVczn;gAxtHdQZ1UnioTf;8676194532;7578726694510232;3
Javier;Rodriguez;ZMuZZaPEQP;javier.rodriguez@example.com;3sMXmlNx;5yKwqIvz14tTbdO;9406060412;9353207682429051;1
Javier;Gomez;AdynTXq0HE;javier.gomez@example.com;ToMZXicW;UncOdVE9BU5SBgQ;6916506680;9475692200899449;10
Maria;Gonzalez;cW4lHl7Kup;maria.gonzalez@example.com;I3BgB9Zx;DHHTcnpMWJLx7e9;0530160524;3165100187481528;9
Juan;Gomez;tmuFeQzdjQ;juan.gomez@example.com;myapXNWO;8SpKWDRhga5lruQ;4204578764;5998480139300107;10
Pedro;Sanchez;KR88dSVeeh;pedro.sanchez@example.com;eTGUcziw;8dmUp6CwIe4pIWY;3980810310;4373387740350522;5
Marta;Gonzalez;A4cnvr5euV;marta.gonzalez@example.com;FNbrQh4k;kgb9AJzmXrUptBJ;7620007049;7454953993366549;5
Maria;Torres;vcRJwKZNwq;maria.torres@example.com;oDXUGXCE;ptz9a3ZjVKZGGqg;1141749029;4589941610683490;9
Sofia;Diaz;hlG6bVqlgF;sofia.diaz@example.com;PWZZkfw4;fO3TUvcHRhv7VA4;2389141330;9507672820108309;3
Javier;Lopez;HDhjGR7MLs;javier.lopez@example.com;EqoOuDJX;fPHpOJPw7j8bpjY;1246635016;2721507979276152;7
Laura;Sanchez;IkXNWGvDei;laura.sanchez@example.com;MoS9yk2t;z0vCL149ryCUpco;3863471440;0320816736495010;3
Sofia;Fernandez;WdxnjciMBd;sofia.fernandez@example.com;4amsmLmS;FaqqHD8PgAvMwtZ;5060844435;2130885927784351;6
Juan;Rodriguez;fXnOQc6yNF;juan.rodriguez@example.com;FRD89U52;7xJHkX4yYzRXMjn;3225640550;4339978963359861;10
Carlos;Fernandez;wRbgBCgKS8;carlos.fernandez@example.com;8Lpkpd3w;bAkMdNTouERWS20;2438298815;8437481746347246;6
Pedro;Lopez;vQNQUkmwLp;pedro.lopez@example.com;XPoZdIdr;jsuki7HP7SviNbO;7916285235;3077118625280122;9
Carlos;Martinez;HRKm6NxnBJ;carlos.martinez@example.com;UlamKJt4;sQPosefR7Y7gxo2;7564449265;8584553361151420;10
Javier;Gonzalez;W7hflqGUWX;javier.gonzalez@example.com;8fNW2cvV;s4BcDT1FWGyERhg;2091436793;1061501533133300;3
Marta;Torres;FFVQiVZfY8;marta.torres@example.com;rG2NdrBB;A9ItKlqEJ5dWXJr;8061723033;0508668812136437;2
Javier;Lopez;yttogJzbVh;javier.lopez@example.com;Q2WCOFrt;yCffL4EDErIg51v;9214493923;8491445858960033;8
Carlos;Gonzalez;T6BINJFEzj;carlos.gonzalez@example.com;vLq6mrHf;pkkehwXl09dyzkc;8084459155;2271310069104701;3
Marta;Sanchez;ayzeTXU0GT;marta.sanchez@example.com;ztr3Xeka;MdApoUwDaaG4No5;1378181255;7692940571890513;1
Maria;Sanchez;MTz45lqQDq;maria.sanchez@example.com;gnsg2yXi;2cnivVWEHvFEwue;2791104926;6471316619134515;1
Ana;Perez;aS6vlz16Q0;ana.perez@example.com;H9vqSbNA;86BgrHNZw5dozhi;1340812940;4838400457227764;9
Laura;Torres;gHurSf1d6J;laura.torres@example.com;cnee1in4;oGKP8KPwDDHCGu3;4336098929;5664090824920206;10
Sofia;Perez;hqxgT89U8y;sofia.perez@example.com;mLu7zFFg;U8MXfBMwRCTfc52;4950463202;3527951222898302;8
Luis;Fernandez;mHVy6jApNO;luis.fernandez@example.com;CYe74AGb;o0E5UEkZDto0Eac;9734418416;7531525665626583;3
Maria;Perez;rmQUQqJJA1;maria.perez@example.com;zqwrhboO;VSDfBdhzsOz8Pyb;1281569638;3742325388279247;6
Javier;Perez;UDOSuWL0L0;javier.perez@example.com;ojMBhfRt;WlA08kXm5kR5Y2T;3525725563;1077988968670171;1
Marta;Gonzalez;muHizesUzA;marta.gonzalez@example.com;KwgAJChh;HdInYl2EZezLdvz;0541392523;8116169405408169;5
Marta;Sanchez;MCjl1hHu4k;marta.sanchez@example.com;uMDJmKLL;vWfnwBwzbywM38S;3151212332;9611655065778170;3
Laura;Martinez;StG3v4m2e8;laura.martinez@example.com;o7vcxtNB;um4csc8gr50Kn6A;4377688522;9518197667426174;10
Laura;Perez;8RAryoyA9x;laura.perez@example.com;ltcWN9dd;ByxjhqQ75cbzniQ;2455376735;7854135064390395;6
